도시,날짜,시간,요일,주말여부,계절,연도,월,자전거수요
london,2023-01-10,10,1,0,winter,2023,1,336
london,2023-01-10,11,1,0,winter,2023,1,401
london,2023-01-10,12,1,0,winter,2023,1,611
london,2023-01-10,13,1,0,winter,2023,1,730
london,2023-01-10,14,1,0,winter,2023,1,629
london,2023-01-10,15,1,0,winter,2023,1,866
london,2023-01-10,16,1,0,winter,2023,1,1200
london,2023-01-10,17,1,0,winter,2023,1,2419
london,2023-01-10,18,1,0,winter,2023,1,2396
london,2023-01-10,19,1,0,winter,2023,1,1199
london,2023-01-10,20,1,0,winter,2023,1,646
london,2023-01-10,21,1,0,winter,2023,1,421
london,2023-01-10,22,1,0,winter,2023,1,298
london,2023-01-10,23,1,0,winter,2023,1,201
london,2023-01-11,0,2,0,winter,2023,1,97
london,2023-01-11,1,2,0,winter,2023,1,34
london,2023-01-11,2,2,0,winter,2023,1,22
london,2023-01-11,3,2,0,winter,2023,1,16
london,2023-01-11,4,2,0,winter,2023,1,42
london,2023-01-11,5,2,0,winter,2023,1,138
london,2023-01-11,6,2,0,winter,2023,1,670
london,2023-01-11,7,2,0,winter,2023,1,1853
london,2023-01-11,8,2,0,winter,2023,1,3468
london,2023-01-11,9,2,0,winter,2023,1,1840
london,2023-01-11,10,2,0,winter,2023,1,968
london,2023-01-11,11,2,0,winter,2023,1,856
london,2023-01-11,12,2,0,winter,2023,1,1089
london,2023-01-11,13,2,0,winter,2023,1,1006
london,2023-01-11,14,2,0,winter,2023,1,786
london,2023-01-11,15,2,0,winter,2023,1,647
london,2023-01-11,16,2,0,winter,2023,1,826
london,2023-01-11,17,2,0,winter,2023,1,2291
london,2023-01-11,18,2,0,winter,2023,1,2458
london,2023-01-11,19,2,0,winter,2023,1,1374
london,2023-01-11,20,2,0,winter,2023,1,928
london,2023-01-11,21,2,0,winter,2023,1,594
london,2023-01-11,22,2,0,winter,2023,1,487
london,2023-01-11,23,2,0,winter,2023,1,261
london,2023-01-12,0,3,0,winter,2023,1,119
london,2023-01-12,1,3,0,winter,2023,1,50
london,2023-01-12,2,3,0,winter,2023,1,23
london,2023-01-12,3,3,0,winter,2023,1,32
london,2023-01-12,4,3,0,winter,2023,1,36
london,2023-01-12,5,3,0,winter,2023,1,112
london,2023-01-12,6,3,0,winter,2023,1,573
london,2023-01-12,7,3,0,winter,2023,1,1733
london,2023-01-12,8,3,0,winter,2023,1,3074
london,2023-01-12,9,3,0,winter,2023,1,1557
london,2023-01-12,10,3,0,winter,2023,1,794
london,2023-01-12,11,3,0,winter,2023,1,538
london,2023-01-12,12,3,0,winter,2023,1,817
london,2023-01-12,13,3,0,winter,2023,1,723
london,2023-01-12,14,3,0,winter,2023,1,523
london,2023-01-12,15,3,0,winter,2023,1,780
london,2023-01-12,16,3,0,winter,2023,1,1229
london,2023-01-12,17,3,0,winter,2023,1,2433
london,2023-01-12,18,3,0,winter,2023,1,2534
london,2023-01-12,19,3,0,winter,2023,1,1507
london,2023-01-12,20,3,0,winter,2023,1,949
london,2023-01-12,21,3,0,winter,2023,1,664
london,2023-01-12,22,3,0,winter,2023,1,597
london,2023-01-12,23,3,0,winter,2023,1,332
london,2023-01-13,0,4,0,winter,2023,1,83
london,2023-01-13,4,4,0,winter,2023,1,14
london,2023-01-13,5,4,0,winter,2023,1,124
london,2023-01-13,6,4,0,winter,2023,1,507
london,2023-01-13,7,4,0,winter,2023,1,1338
london,2023-01-13,8,4,0,winter,2023,1,2340
london,2023-01-13,9,4,0,winter,2023,1,1458
london,2023-01-13,10,4,0,winter,2023,1,907
london,2023-01-13,11,4,0,winter,2023,1,929
london,2023-01-13,12,4,0,winter,2023,1,1130
london,2023-01-13,13,4,0,winter,2023,1,1160
london,2023-01-13,14,4,0,winter,2023,1,1028
london,2023-01-13,15,4,0,winter,2023,1,1224
london,2023-01-13,16,4,0,winter,2023,1,1507
london,2023-01-13,17,4,0,winter,2023,1,2029
london,2023-01-13,18,4,0,winter,2023,1,1908
london,2023-01-13,19,4,0,winter,2023,1,1287
london,2023-01-13,20,4,0,winter,2023,1,749
london,2023-01-13,21,4,0,winter,2023,1,617
london,2023-01-13,22,4,0,winter,2023,1,579
london,2023-01-13,23,4,0,winter,2023,1,464
london,2023-01-14,0,5,1,winter,2023,1,308
london,2023-01-14,1,5,1,winter,2023,1,183
london,2023-01-14,2,5,1,winter,2023,1,79
london,2023-01-14,3,5,1,winter,2023,1,62
london,2023-01-14,4,5,1,winter,2023,1,34
london,2023-01-14,5,5,1,winter,2023,1,30
london,2023-01-14,6,5,1,winter,2023,1,66
london,2023-01-14,7,5,1,winter,2023,1,200
london,2023-01-14,8,5,1,winter,2023,1,415
london,2023-01-14,9,5,1,winter,2023,1,711
london,2023-01-14,10,5,1,winter,2023,1,864
london,2023-01-14,11,5,1,winter,2023,1,959
london,2023-01-14,12,5,1,winter,2023,1,917
london,2023-01-14,13,5,1,winter,2023,1,1177
london,2023-01-14,14,5,1,winter,2023,1,1244
london,2023-01-14,15,5,1,winter,2023,1,1108
london,2023-01-14,16,5,1,winter,2023,1,1083
london,2023-01-14,17,5,1,winter,2023,1,1029
london,2023-01-14,18,5,1,winter,2023,1,918
london,2023-01-14,19,5,1,winter,2023,1,796
london,2023-01-14,20,5,1,winter,2023,1,652
london,2023-01-14,21,5,1,winter,2023,1,416
london,2023-01-14,22,5,1,winter,2023,1,397
london,2023-01-14,23,5,1,winter,2023,1,381
london,2023-01-15,0,6,1,winter,2023,1,322
london,2023-01-15,1,6,1,winter,2023,1,223
london,2023-01-15,2,6,1,winter,2023,1,153
london,2023-01-15,3,6,1,winter,2023,1,119
london,2023-01-15,4,6,1,winter,2023,1,59
london,2023-01-15,5,6,1,winter,2023,1,50
london,2023-01-15,6,6,1,winter,2023,1,89
london,2023-01-15,7,6,1,winter,2023,1,165
london,2023-01-15,8,6,1,winter,2023,1,360
london,2023-01-15,9,6,1,winter,2023,1,692
london,2023-01-15,10,6,1,winter,2023,1,1096
london,2023-01-15,11,6,1,winter,2023,1,1290
london,2023-01-15,12,6,1,winter,2023,1,1515
london,2023-01-15,13,6,1,winter,2023,1,1316
london,2023-01-15,14,6,1,winter,2023,1,1407
london,2023-01-15,15,6,1,winter,2023,1,1369
london,2023-01-15,16,6,1,winter,2023,1,1277
london,2023-01-15,17,6,1,winter,2023,1,912
london,2023-01-15,18,6,1,winter,2023,1,848
london,2023-01-15,19,6,1,winter,2023,1,615
london,2023-01-15,20,6,1,winter,2023,1,405
london,2023-01-15,21,6,1,winter,2023,1,317
london,2023-01-15,22,6,1,winter,2023,1,295
london,2023-01-15,23,6,1,winter,2023,1,198
london,2023-01-16,0,0,0,winter,2023,1,106
london,2023-01-16,1,0,0,winter,2023,1,26
london,2023-01-16,2,0,0,winter,2023,1,7
london,2023-01-16,3,0,0,winter,2023,1,13
london,2023-01-16,4,0,0,winter,2023,1,18
london,2023-01-16,5,0,0,winter,2023,1,84
london,2023-01-16,6,0,0,winter,2023,1,369
london,2023-01-16,7,0,0,winter,2023,1,1320
london,2023-01-16,8,0,0,winter,2023,1,2691
london,2023-01-16,9,0,0,winter,2023,1,1358
london,2023-01-16,10,0,0,winter,2023,1,740
london,2023-01-16,11,0,0,winter,2023,1,655
london,2023-01-16,12,0,0,winter,2023,1,797
london,2023-01-16,13,0,0,winter,2023,1,771
london,2023-01-16,14,0,0,winter,2023,1,683
london,2023-01-16,15,0,0,winter,2023,1,830
london,2023-01-16,16,0,0,winter,2023,1,1189
london,2023-01-16,17,0,0,winter,2023,1,2243
london,2023-01-16,18,0,0,winter,2023,1,2296
london,2023-01-16,19,0,0,winter,2023,1,1423
london,2023-01-16,20,0,0,winter,2023,1,843
london,2023-01-16,21,0,0,winter,2023,1,570
london,2023-01-16,22,0,0,winter,2023,1,363
london,2023-01-16,23,0,0,winter,2023,1,172
london,2023-01-17,0,1,0,winter,2023,1,61
london,2023-01-17,1,1,0,winter,2023,1,29
london,2023-01-17,2,1,0,winter,2023,1,24
london,2023-01-17,3,1,0,winter,2023,1,14
london,2023-01-17,4,1,0,winter,2023,1,32
london,2023-01-17,5,1,0,winter,2023,1,137
london,2023-01-17,6,1,0,winter,2023,1,582
london,2023-01-17,7,1,0,winter,2023,1,1664
london,2023-01-17,8,1,0,winter,2023,1,3205
london,2023-01-17,9,1,0,winter,2023,1,1671
london,2023-01-17,10,1,0,winter,2023,1,768
london,2023-01-17,11,1,0,winter,2023,1,702
london,2023-01-17,12,1,0,winter,2023,1,855
london,2023-01-17,13,1,0,winter,2023,1,861
london,2023-01-17,14,1,0,winter,2023,1,803
london,2023-01-17,15,1,0,winter,2023,1,857
london,2023-01-17,16,1,0,winter,2023,1,1240
london,2023-01-17,17,1,0,winter,2023,1,2439
london,2023-01-17,18,1,0,winter,2023,1,2429
london,2023-01-17,19,1,0,winter,2023,1,1469
london,2023-01-17,20,1,0,winter,2023,1,902
london,2023-01-17,21,1,0,winter,2023,1,569
london,2023-01-17,22,1,0,winter,2023,1,474
london,2023-01-17,23,1,0,winter,2023,1,201
london,2023-01-18,0,2,0,winter,2023,1,73
london,2023-01-18,1,2,0,winter,2023,1,40
london,2023-01-18,2,2,0,winter,2023,1,23
london,2023-01-18,3,2,0,winter,2023,1,11
london,2023-01-18,4,2,0,winter,2023,1,32
london,2023-01-18,5,2,0,winter,2023,1,128
london,2023-01-18,6,2,0,winter,2023,1,590
london,2023-01-18,7,2,0,winter,2023,1,1675
london,2023-01-18,8,2,0,winter,2023,1,3166
london,2023-01-18,9,2,0,winter,2023,1,1661
london,2023-01-18,10,2,0,winter,2023,1,824
london,2023-01-18,11,2,0,winter,2023,1,775
london,2023-01-18,12,2,0,winter,2023,1,951
london,2023-01-18,13,2,0,winter,2023,1,962
london,2023-01-18,14,2,0,winter,2023,1,862
london,2023-01-18,15,2,0,winter,2023,1,923
london,2023-01-18,16,2,0,winter,2023,1,1364
london,2023-01-18,17,2,0,winter,2023,1,2375
